id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
73282,"Clean, central, quiet",377532,Simona,Kreis 3,Sihlfeld,47.37167,8.51948,Entire home/apt,,1125,47,2019-04-27,0.29,1,358,0,
143821,LOFT on 2 floors in Sihlcity Zürich,697307,Erhan,Kreis 3,Alt-Wiedikon,47.35761,8.52131,Entire home/apt,232,3,0,,,1,269,0,
178448,"a lovely place, top location",854016,Delphine,Kreis 2,Enge,47.36514,8.52615,Private room,48,5,9,2016-05-10,0.05,1,92,0,
227039,*Luxury Penthouse in the heart of trendy Zurich*,1184427,Lucas,Kreis 5,Escher Wyss,47.38942,8.51881,Entire home/apt,501,4,31,2023-08-22,0.18,1,280,0,
283737,Best Location in Zurich Oldtown,1477771,Nuria,Kreis 1,Rathaus,47.37372,8.54452,Entire home/apt,160,4,383,2025-09-08,2.30,3,13,21,
292351,120 sqM - 3 bedrooms + lounge in central Zurich,1513739,Anil,Kreis 4,Hard,47.38066,8.50657,Entire home/apt,,5,11,2024-08-11,0.12,1,0,0,
310964,Large Apartment - Center of Zurich,1266114,Kim,Kreis 1,Hochschulen,47.36713,8.54868,Entire home/apt,360,7,13,2019-01-06,0.08,1,28,0,
577683,Garden Apartment in Zurich West with private Gym,1240329,Claudio,Kreis 10,Höngg,47.4049,8.49555,Entire home/apt,238,5,7,2021-07-03,0.04,1,232,0,
610348,"Duplex  Flat, 120 m2 7-8  persons",3026473,Leandra,Kreis 11,Oerlikon,47.40703,8.55232,Entire home/apt,227,5,162,2025-09-05,1.02,2,311,15,
620130,NB1: Charming 2-room apartment,3072679,Felix,Kreis 10,Wipkingen,47.39278,8.53,Entire home/apt,185,3,25,2020-02-08,0.22,5,357,0,
706972,NB2: good value 1-room apartment,3072679,Felix,Kreis 10,Wipkingen,47.39229,8.52951,Entire home/apt,134,3,8,2020-03-17,0.07,5,242,0,
